Gene name	Mean of ratios
	
3ha	
5srrna	1.473
aap1	1.074
aap1.rc	1.080
abc1: c2d10.18	0.975
abc1: c9e9.12c	1.890
abp1	0.938
abp2	0.861
act1.1.bud.75	1.209
act1.5.bud.79	
act1: cps8: pi012	1.025
act2	0.959
ada1	1.096
ade10	0.806
ade1: min4	0.806
ade2: min10	0.866
ade3: min11	0.829
ade4: min13	0.901
ade5: ade8	0.811
ade6: min1	0.927
ade8	0.857
ade9	0.947
adh1: adh	1.024
adk1	0.805
aes1	0.659
agl	1.198
ags1: mok1	0.903
ain1	1.507
alg11: gmd3	0.970
alm1	0.962
alp1	
alp11	1.074
alp13	0.825
alp14	1.051
alp16	1.021
alp21: sto1	1.122
alp31	0.978
alp4	1.188
alp41	1.297
alp6	0.929
alp7	1.155
anc1	0.757
apc1: apc10	1.243
apc5	0.986
ape1	
apg9	0.948
aph1	0.993
apl1	0.769
apl2	0.944
apl3: pi033	1.030
apl4	0.858
apl5	1.106
apl6	1.045
apm1	0.944
apm2	1.026
apm4	0.941
apn1	
app1	1.140
aps1	1.297
aps2	
aps3	0.876
arf1	1.002
arg11	0.872
arg3	0.800
arg7	0.888
argx	0.859
aro1	0.960
arp10	1.020
arp2	1.089
ars2004	1.223
ars24-ctrl	1.483
ars3002	2.276
aru1	0.724
atf1: mts1: sss1: gad7.b	1.333
atf21	
atf31	1.693
atp1	0.727
atp1.rc	0.819
atp2	0.740
ats1	0.984
aur1	0.805
azr1	1.068
b13958-1	0.951
b13958-3	1.154
b20341-1	1.065
b20341-2	1.497
b20341-3	0.820
b22918-1	1.267
b22918-2	0.969
b8647-1	0.986
b8647-2	0.967
b8647-3	1.381
b8647-4	1.211
b8647-5	1.601
bag1-a	0.964
bag1-b	0.881
bem46	0.695
bet1	1.020
bet3	0.985
bet5	1.070
bfr1: hba2	1.692
bgl2	1.153
bgs2: meu21	1.167
bgs3	0.937
bgs4	1.025
bio2	0.738
bip	1.417
bos1	1.238
bpb1: sf1	0.990
brc1	1.026
brd1	0.934
brr2	1.291
btf3	0.733
bub1	1.115
byr1: ste1	1.010
byr1: ste1.rc	1.106
byr2: ste8	1.182
byr3	0.833
byr4	1.185
c1002.01	0.970
c1002.02	0.959
c1002.03c	1.020
c1002.04c	0.898
c1002.05c	1.277
c1002.06c	1.112
c1002.08c	1.267
c1002.10c	1.115
c1002.11	1.140
c1002.12c	1.366
c1002.14	1.246
c1002.15c	1.067
c1002.16c	1.293
c1002.17c	0.651
c1002.18	0.749
c1002.19	0.672
c1002.20	1.501
c1002.21	0.883
c1006.01	1.276
c1006.02	1.081
c1006.03c	1.023
c1006.04c	1.345
c1006.05c	1.026
c1006.06	1.024
c1020.03	
c1020.05	1.080
c1020.07	0.996
c1020.08	0.908
c1020.09	1.399
c1020.10	1.134
c1020.11c	0.967
c1020.12c	
c1020.13c	1.215
c1039.01	0.811
c1039.02	0.738
c1039.03	1.071
c1039.04	1.131
c1039.05c	0.991
c1039.06	0.911
c1039.07c	0.857
c1039.08	0.766
c105.01c	1.212
c105.02c	1.007
c105.03c	0.924
c106.02c	2.426
c106.03	1.038
c106.05c	0.739
c106.07c	1.001
c106.11c	1.168
c106.12c	1.034
c106.13	1.201
c106.14c	0.799
c106.16	1.024
c106.17c	1.828
c1071.01c	1.004
c1071.02	0.890
c1071.03c	0.831
c1071.04c	0.943
c1071.05	0.993
c1071.06	0.937
c1071.09c	1.203
c1071.09c.rc	1.350
c1071.11	0.871
c1071.11.rc	1.164
c1093.01	1.114
c1093.01.rc	1.169
c1093.02	0.788
c1093.03	
c1093.04c	0.827
c1093.05	0.760
c10f6.01c	0.780
c10f6.03c	0.774
c10f6.04	1.274
c10f6.07c	1.140
c10f6.08c	0.952
c10f6.10	0.926
c10f6.11c	1.171
c10f6.13c	0.756
c10f6.14c	1.028
c10f6.16	1.075
c10f6.17c	1.195
c110.02	1.076
c1105.01	0.871
c1105.02c	0.813
c1105.03c	0.667
c1105.06	0.868
c1105.07c	0.915
c1105.08	0.975
c1105.10	1.244
c1105.13c	1.045
c1105.14	1.669
c1105.15c	
c1105.16c	1.180
c1142.01	0.947
c1142.02c	0.915
c1142.04	0.701
c1142.05	1.088
c1142.06	0.893
c115.01c	0.880
c115.01c.rc	1.028
c115.02c	0.961
c115.03	1.248
c1183.02	0.793
c1183.03c	1.026
c1183.04c	1.025
c1183.07	0.829
c1183.09c	1.085
c119.03	1.116
c119.06	0.888
c119.07	1.012
c119.09c	0.954
c119.10	0.716
c119.12	0.898
c119.15	0.818
c119.16c	0.936
c119.18	0.879
c1198.01	0.960
c1198.02	0.832
c1198.03c	0.973
c1198.05	0.778
c1198.06c	0.989
c1198.07c	1.067
c1198.07c.rc	1.676
c1198.08	0.872
c1198.10c	0.934
c11c11.01	1.109
c11c11.05	0.875
c11c11.06c	0.880
c11c11.12	1.158
c11d3.01c	0.686
c11d3.02c	0.721
c11d3.03c	1.455
c11d3.04c	0.918
c11d3.05	1.194
c11d3.06	1.035
c11d3.07c	1.172
c11d3.08c	1.083
c11d3.09	0.773
c11d3.10	1.370
c11d3.11c	1.275
c11d3.13	1.658
c11d3.14c	1.952
c11d3.15	1.111
c11d3.16c	1.057
c11d3.17	0.965
c11d3.18c	1.219
c11e10.01	0.927
c11e10.03	1.354
c11e10.04	0.957
c11e10.05c	0.936
c11e10.06c	1.023
c11e10.07c	0.947
c11e3.01c	0.971
c11e3.02c	1.024
c11e3.03	1.009
c11e3.05	1.234
c11e3.07	1.036
c11e3.10	0.971
c11e3.10.rc	
c11e3.11c	1.049
c11e3.12	1.009
c11e3.13c	1.075
c11e3.14	1.114
c11g11.01	0.968
c11g11.03	0.695
c11g11.05	0.705
c11g7.01	0.970
c11g7.03	1.099
c11g7.05c	1.087
c11h11.01	1.047
c11h11.02c	1.107
c11h11.03c	0.933
c11h11.05c	0.898
c1215.01	1.036
c1215.02c	0.854
c1223.01	0.979
c1223.04c	
c1223.07c	0.690
c1223.09	1.078
c1223.10c	1.405
c1223.13	1.534
c1223.14.a	0.673
c1235.03	1.001
c1235.04c	1.004
c1235.05c	1.409
c1235.06	1.013
c1235.07	1.026
c1235.09	0.941
c1235.11	0.656
c1235.12c	1.445
c1250.01	0.997
c1250.02	1.413
c1250.04c	0.879
c1259.02c	0.809
c1259.04	0.844
c1259.05c	0.734
c1259.06	1.193
c1259.07	1.048
c1259.08	1.077
c1259.09c	0.610
c1259.10	0.810
c1259.11c	1.291
c1259.12c	1.470
c126.01c	0.914
c126.04c	1.236
c126.05c	1.064
c126.06	1.021
c126.07c	1.267
c126.08c	1.062
c126.09	1.042
c126.11c	0.895
c126.12	0.801
c126.13c	0.823
c1271.01c	1.272
c1271.03c	1.004
c1271.04c	0.781
c1271.05c	1.407
c1271.06c	
c1271.07c	0.823
c1271.08c	0.582
c1271.09	1.333
c1271.10c	0.771
c1271.11	0.985
c1271.13	0.774
c1271.14	0.906
c1271.15c	1.068
c1281.03c	0.946
c1281.04.a	1.359
c1281.05	0.888
c1281.06c	0.501
c1281.07c	1.763
c1289.01c	1.133
c1289.01c.rc	1.254
c1289.05c	0.887
c1289.06c	1.199
c1289.08	1.234
c1289.09	1.030
c1289.10c	1.035
c1289.12	1.053
c1289.13c	0.854
c1296.01c	1.067
c1296.04	1.129
c1296.05c	0.990
c1296.06	1.030
c12b10.01c	1.028
c12b10.02c	0.887
c12b10.03	1.062
c12b10.04	0.837
c12b10.05	1.066
c12b10.06c	0.881
c12b10.07	0.943
c12b10.08c	1.396
c12b10.09	0.844
c12b10.10	1.603
c12b10.13	1.081
c12b10.14c	1.125
c12b10.15c	1.335
c12b10.16c	1.066
c12c2.03c	1.020
c12c2.04	1.104
c12c2.05c	
c12c2.05c.rc	1.075
c12c2.06	0.849
c12c2.07c	0.706
c12c2.08	1.194
c12c2.09c	0.872
c12c2.11	1.197
c12c2.12c	0.973
c12c2.14c	
c12d12.05c	0.879
c12d12.06	0.927
c12d12.07c	1.183
c12d12.09	1.053
c12g12.02	0.782
c12g12.03	1.127
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	0.986
c12g12.07c	1.010
c12g12.08	1.002
c12g12.09	1.207
c12g12.10	0.956
c12g12.11c	1.127
c12g12.12	1.216
c12g12.14c	0.989
c12g12.15	0.955
c12g12.16c	1.067
c1306.01c	0.616
c132.01c	
c132.02	1.026
c132.03	0.970
c132.04c	1.565
c1322.02	1.055
c1322.03	1.266
c1322.04	1.360
c1322.05c	1.897
c1322.06	1.163
c1322.07c	1.003
c1322.08	1.539
c1322.09	1.163
c1322.09.rc	1.112
c1322.10	1.045
c1322.14c	0.832
c1322.16	0.886
c1327.01c	0.936
c1346.03	1.404
c1347.01c	0.908
c1347.04	0.947
c1347.05c	0.905
c1347.07	0.853
c1347.08c	0.868
c1347.09	0.976
c1347.11	0.738
c1347.12	1.015
c1347.12.rc	
c1347.13c	1.144
c1347.14c	0.739
c1348.01	1.042
c1348.02	0.928
c1348.02.rc	1.687
c1348.03	1.670
c1348.04	1.840
c1348.05	1.444
c1348.06c	1.286
c1348.07	1.089
c1348.08c	1.484
c1348.09	1.718
c1348.10c	0.853
c1348.11	1.114
c1348.12	
c1348.13	1.280
c1348.14c	1.502
c139.01c	0.943
c139.02c	0.631
c139.03	1.176
c139.04c	1.108
c139.05	1.242
c1393.02c	1.020
c1393.04	1.189
c1393.05	1.234
c1393.06c	0.972
c1393.07c	
c1393.08	0.663
c1393.08.rc	0.775
c1393.09c	0.868
c1393.11	0.975
c1393.12	0.844
c1393.13	
c1399.01c	1.392
c1399.02	0.714
c1399.04c	0.732
c1399.05c	1.033
c13a11.01c	1.021
c13a11.03	1.032
c13a11.04c	1.182
c13a11.05	1.136
c13a2.01c	0.890
c13a2.02	0.974
c13a2.03	0.838
c13b11.02c	1.110
c13b11.03c	1.145
c13c5.01c	1.242
c13c5.02	1.263
c13c5.04	1.015
c13c5.04.rc	1.205
c13c5.05c	1.094
c13c5.06c	0.970
c13d6.01	0.871
c13d6.03c	0.820
c13d6.04c	1.327
c13e7.01	1.125
c13e7.02	1.330
c13e7.03c	1.039
c13e7.04	0.680
c13e7.05	0.988
c13e7.06	1.890
c13e7.07	0.943
c13e7.08c	0.908
c13e7.09	0.970
c13e7.09.rc	1.261
c13f5.03c	0.746
c13f5.04c	1.009
c13f5.05	1.142
c13f5.07c	1.288
c13g1.01c	0.788
c13g1.02	0.926
c13g1.03c	0.935
c13g1.04c	0.725
c13g1.05	0.742
c13g1.06c	0.842
c13g1.07	0.859
c13g1.08c	0.929
c13g1.09	0.821
c13g1.10c	1.058
c13g1.12	0.829
c13g1.14c	0.834
c13g1.15c	1.065
c13g6.03	0.985
c13g6.05c	0.859
c13g6.06c	1.085
c13g6.08	
c13g6.09	0.820
c13g6.10c	0.855
c13g6.11c	0.830
c13g7.02c.b	1.254
c13g7.03	0.999
c13g7.04c	0.979
c13g7.05	1.286
c13g7.06	1.045
c13g7.07	1.115
c13g7.09c	1.060
c13g7.10	1.020
c13g7.11	0.908
c13g7.12c	0.903
c13g7.13c	0.847
c140.03	1.297
c140.04	1.089
c140.05	1.214
c1420.01c	0.890
c1420.04c	0.800
c144.01	0.826
c144.02	1.148
c144.05	1.045
c144.07c	1.041
c144.08	0.865
c144.09c	0.926
c144.10c	1.055
c144.12	0.972
c144.15c	0.995
c144.16	0.970
c144.17c	1.137
c144.18	0.988
c1442.02	1.040
c1442.03	0.762
c1442.04c	1.143
c1442.05c	0.731
c1442.06	1.008
c1442.07c	1.586
c1442.08c	0.788
c1442.09	0.834
c1442.11c	
c1442.12	0.820
c1442.13c	0.884
c1442.14c	
c1442.15c	1.429
c1442.17c	1.146
c145.02	0.942
c145.03	1.098
c1450.01c	0.866
c1450.03	0.693
c1450.05c	1.031
c1450.06c	
c1450.07c	0.923
c1450.09c	1.408
c1450.10c	
c1450.12	
c1450.13c	0.774
c1450.14c	1.267
c1450.15	1.038
c1450.16c	0.995
c146.01	1.081
c146.02	1.311
c146.04	0.926
c146.05c	1.038
