Gene name	Mean of ratios
	
3ha	
5srrna	1.995
aap1	1.045
aap1.rc	1.103
abc1: c2d10.18	0.944
abc1: c9e9.12c	0.645
abp1	0.887
abp2	0.644
act1.1.bud.75	1.423
act1.5.bud.79	
act1: cps8: pi012	0.950
act2	0.894
ada1	0.876
ade10	1.184
ade1: min4	1.197
ade2: min10	1.010
ade3: min11	1.068
ade4: min13	1.137
ade5: ade8	1.085
ade6: min1	0.984
ade8	1.208
ade9	
adh1: adh	1.098
adk1	1.063
aes1	0.728
agl	1.077
ags1: mok1	1.118
ain1	1.587
alg11: gmd3	0.963
alm1	1.057
alp1	
alp11	0.818
alp13	1.062
alp14	1.042
alp16	0.824
alp21: sto1	1.203
alp31	1.031
alp4	1.000
alp41	1.039
alp6	1.183
alp7	0.845
anc1	1.157
apc1: apc10	0.963
apc5	1.092
ape1	
apg9	0.755
aph1	1.035
apl1	1.027
apl2	0.848
apl3: pi033	0.880
apl4	0.950
apl5	0.998
apl6	0.993
apm1	0.934
apm2	0.967
apm4	1.052
apn1	
app1	0.868
aps1	1.295
aps2	
aps3	0.810
arf1	1.096
arg11	1.065
arg3	1.023
arg7	1.011
argx	1.001
aro1	0.982
arp10	0.982
arp2	0.858
ars2004	1.223
ars24-ctrl	1.134
ars3002	1.678
aru1	1.214
atf1: mts1: sss1: gad7.b	0.891
atf21	
atf31	1.107
atp1	1.144
atp1.rc	1.212
atp2	1.209
ats1	0.758
aur1	0.812
azr1	1.038
b13958-1	1.143
b13958-3	1.059
b20341-1	0.942
b20341-2	1.366
b20341-3	0.959
b22918-1	1.208
b22918-2	0.822
b8647-1	0.880
b8647-2	0.966
b8647-3	1.024
b8647-4	1.192
b8647-5	0.390
bag1-a	0.880
bag1-b	1.032
bem46	1.026
bet1	1.085
bet3	0.956
bet5	0.868
bfr1: hba2	0.729
bgl2	0.726
bgs2: meu21	0.697
bgs3	1.034
bgs4	1.010
bio2	1.291
bip	1.051
bos1	1.104
bpb1: sf1	1.043
brc1	0.944
brd1	1.036
brr2	1.152
btf3	1.146
bub1	1.027
byr1: ste1	0.922
byr1: ste1.rc	1.144
byr2: ste8	0.776
byr3	1.172
byr4	0.986
c1002.01	1.063
c1002.02	0.943
c1002.03c	1.000
c1002.04c	0.857
c1002.05c	0.894
c1002.06c	1.121
c1002.08c	0.955
c1002.10c	0.996
c1002.11	0.866
c1002.12c	0.717
c1002.14	0.824
c1002.15c	0.960
c1002.16c	
c1002.17c	0.628
c1002.18	0.793
c1002.19	0.569
c1002.20	1.308
c1002.21	0.609
c1006.01	0.673
c1006.02	1.136
c1006.03c	1.082
c1006.04c	1.274
c1006.05c	0.861
c1006.06	0.814
c1020.03	
c1020.05	0.852
c1020.07	1.139
c1020.08	1.277
c1020.09	1.322
c1020.10	1.500
c1020.11c	0.968
c1020.12c	
c1020.13c	0.807
c1039.01	0.976
c1039.02	0.998
c1039.03	0.865
c1039.04	0.882
c1039.05c	0.952
c1039.06	0.834
c1039.07c	0.713
c1039.08	0.760
c105.01c	0.837
c105.02c	0.798
c105.03c	0.901
c106.02c	0.637
c106.03	0.793
c106.05c	1.034
c106.07c	0.915
c106.11c	0.994
c106.12c	1.068
c106.13	0.890
c106.14c	1.164
c106.16	0.827
c106.17c	0.782
c1071.01c	1.069
c1071.02	0.978
c1071.03c	0.958
c1071.04c	0.879
c1071.05	1.080
c1071.06	1.222
c1071.09c	1.152
c1071.09c.rc	1.356
c1071.11	0.763
c1071.11.rc	1.074
c1093.01	0.836
c1093.01.rc	0.950
c1093.02	1.017
c1093.03	
c1093.04c	0.941
c1093.05	1.112
c10f6.01c	1.289
c10f6.03c	1.329
c10f6.04	0.984
c10f6.07c	0.930
c10f6.08c	1.002
c10f6.10	1.203
c10f6.11c	0.715
c10f6.13c	0.735
c10f6.14c	1.002
c10f6.16	0.826
c10f6.17c	1.001
c110.02	0.802
c1105.01	1.205
c1105.02c	1.058
c1105.03c	1.029
c1105.06	1.023
c1105.07c	1.033
c1105.08	0.908
c1105.10	0.976
c1105.13c	1.099
c1105.14	1.488
c1105.15c	
c1105.16c	1.304
c1142.01	0.980
c1142.02c	0.989
c1142.04	1.284
c1142.05	0.834
c1142.06	1.034
c115.01c	1.052
c115.01c.rc	1.135
c115.02c	0.945
c115.03	1.036
c1183.02	0.956
c1183.03c	0.951
c1183.04c	0.916
c1183.07	1.211
c1183.09c	0.875
c119.03	0.398
c119.06	0.998
c119.07	0.878
c119.09c	0.833
c119.10	1.051
c119.12	0.833
c119.15	1.025
c119.16c	1.060
c119.18	1.035
c1198.01	0.686
c1198.02	0.926
c1198.03c	1.014
c1198.05	0.987
c1198.06c	0.968
c1198.07c	0.787
c1198.07c.rc	1.232
c1198.08	1.072
c1198.10c	0.908
c11c11.01	0.971
c11c11.05	0.828
c11c11.06c	0.982
c11c11.12	1.134
c11d3.01c	0.505
c11d3.02c	1.138
c11d3.03c	1.284
c11d3.04c	1.173
c11d3.05	0.640
c11d3.06	1.100
c11d3.07c	0.877
c11d3.08c	0.899
c11d3.09	0.719
c11d3.10	1.234
c11d3.11c	0.827
c11d3.13	0.662
c11d3.14c	1.118
c11d3.15	0.985
c11d3.16c	0.954
c11d3.17	0.781
c11d3.18c	0.997
c11e10.01	0.786
c11e10.03	1.148
c11e10.04	0.966
c11e10.05c	0.987
c11e10.06c	1.170
c11e10.07c	1.042
c11e3.01c	1.012
c11e3.02c	0.775
c11e3.03	0.957
c11e3.05	0.867
c11e3.07	0.963
c11e3.10	0.952
c11e3.10.rc	
c11e3.11c	0.820
c11e3.12	0.973
c11e3.13c	1.031
c11e3.14	0.918
c11g11.01	0.665
c11g11.03	1.354
c11g11.05	1.200
c11g7.01	0.860
c11g7.03	0.918
c11g7.05c	0.942
c11h11.01	0.993
c11h11.02c	0.999
c11h11.03c	1.100
c11h11.05c	0.979
c1215.01	0.926
c1215.02c	1.134
c1223.01	1.014
c1223.04c	
c1223.07c	1.055
c1223.09	0.428
c1223.10c	0.825
c1223.13	
c1223.14.a	1.509
c1235.03	0.844
c1235.04c	1.070
c1235.05c	1.254
c1235.06	1.069
c1235.07	1.124
c1235.09	0.946
c1235.11	0.992
c1235.12c	1.389
c1250.01	0.855
c1250.02	1.334
c1250.04c	0.965
c1259.02c	1.098
c1259.04	1.000
c1259.05c	0.963
c1259.06	1.181
c1259.07	0.965
c1259.08	0.916
c1259.09c	0.838
c1259.10	1.034
c1259.11c	0.944
c1259.12c	0.960
c126.01c	1.035
c126.04c	0.800
c126.05c	0.972
c126.06	0.822
c126.07c	0.817
c126.08c	0.912
c126.09	0.931
c126.11c	0.998
c126.12	1.048
c126.13c	1.087
c1271.01c	0.934
c1271.03c	1.001
c1271.04c	1.145
c1271.05c	0.475
c1271.06c	
c1271.07c	0.695
c1271.08c	0.395
c1271.09	1.061
c1271.10c	1.161
c1271.11	1.076
c1271.13	1.091
c1271.14	1.006
c1271.15c	1.070
c1281.03c	1.041
c1281.04.a	0.631
c1281.05	0.886
c1281.06c	1.485
c1281.07c	0.382
c1289.01c	0.881
c1289.01c.rc	1.215
c1289.05c	0.903
c1289.06c	1.030
c1289.08	1.272
c1289.09	1.043
c1289.10c	1.008
c1289.12	1.088
c1289.13c	1.062
c1296.01c	0.942
c1296.04	1.020
c1296.05c	1.049
c1296.06	0.951
c12b10.01c	0.748
c12b10.02c	0.887
c12b10.03	0.960
c12b10.04	1.210
c12b10.05	0.966
c12b10.06c	1.011
c12b10.07	0.921
c12b10.08c	1.124
c12b10.09	1.205
c12b10.10	1.515
c12b10.13	0.788
c12b10.14c	0.906
c12b10.15c	0.962
c12b10.16c	0.930
c12c2.03c	0.893
c12c2.04	0.779
c12c2.05c	
c12c2.05c.rc	1.183
c12c2.06	1.005
c12c2.07c	1.166
c12c2.08	1.047
c12c2.09c	1.015
c12c2.11	0.937
c12c2.12c	0.988
c12c2.14c	
c12d12.05c	1.143
c12d12.06	1.146
c12d12.07c	0.869
c12d12.09	1.049
c12g12.02	1.235
c12g12.03	1.085
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	1.143
c12g12.07c	1.004
c12g12.08	1.047
c12g12.09	0.930
c12g12.10	0.887
c12g12.11c	0.995
c12g12.12	0.767
c12g12.14c	0.892
c12g12.15	0.978
c12g12.16c	1.145
c1306.01c	1.131
c132.01c	
c132.02	1.248
c132.03	0.874
c132.04c	0.669
c1322.02	0.847
c1322.03	0.725
c1322.04	1.284
c1322.05c	1.614
c1322.06	1.044
c1322.07c	0.949
c1322.08	1.178
c1322.09	0.925
c1322.09.rc	1.081
c1322.10	0.943
c1322.14c	1.023
c1322.16	1.004
c1327.01c	0.844
c1346.03	0.928
c1347.01c	0.930
c1347.04	1.020
c1347.05c	1.050
c1347.07	0.989
c1347.08c	0.878
c1347.09	0.941
c1347.11	0.745
c1347.12	0.981
c1347.12.rc	0.843
c1347.13c	1.226
c1347.14c	0.755
c1348.01	1.250
c1348.02	1.024
c1348.02.rc	1.284
c1348.03	0.887
c1348.04	1.018
c1348.05	1.081
c1348.06c	1.235
c1348.07	1.334
c1348.08c	
c1348.09	1.346
c1348.10c	1.117
c1348.11	1.384
c1348.12	
c1348.13	1.400
c1348.14c	1.414
c139.01c	1.135
c139.02c	0.934
c139.03	0.990
c139.04c	0.857
c139.05	0.445
c1393.02c	0.888
c1393.04	0.955
c1393.05	0.992
c1393.06c	1.240
c1393.07c	0.996
c1393.08	1.288
c1393.08.rc	1.343
c1393.09c	1.124
c1393.11	1.037
c1393.12	0.386
c1393.13	
c1399.01c	0.347
c1399.02	0.895
c1399.04c	0.545
c1399.05c	0.758
c13a11.01c	0.865
c13a11.03	1.128
c13a11.04c	0.757
c13a11.05	0.901
c13a2.01c	0.874
c13a2.02	1.088
c13a2.03	0.941
c13b11.02c	1.054
c13b11.03c	1.180
c13c5.01c	0.801
c13c5.02	0.968
c13c5.04	0.477
c13c5.04.rc	0.620
c13c5.05c	0.879
c13c5.06c	0.960
c13d6.01	0.665
c13d6.03c	1.181
c13d6.04c	0.991
c13e7.01	0.988
c13e7.02	0.848
c13e7.03c	0.695
c13e7.04	1.116
c13e7.05	0.975
c13e7.06	0.968
c13e7.07	1.038
c13e7.08c	0.990
c13e7.09	0.937
c13e7.09.rc	1.259
c13f5.03c	1.025
c13f5.04c	1.301
c13f5.05	1.042
c13f5.07c	0.570
c13g1.01c	1.166
c13g1.02	0.905
c13g1.03c	0.967
c13g1.04c	1.283
c13g1.05	0.978
c13g1.06c	0.952
c13g1.07	1.012
c13g1.08c	1.092
c13g1.09	1.069
c13g1.10c	0.894
c13g1.12	0.861
c13g1.14c	0.940
c13g1.15c	1.303
c13g6.03	0.929
c13g6.05c	1.124
c13g6.06c	1.390
c13g6.08	
c13g6.09	1.212
c13g6.10c	0.881
c13g6.11c	0.994
c13g7.02c.b	0.976
c13g7.03	1.039
c13g7.04c	0.744
c13g7.05	1.264
c13g7.06	0.886
c13g7.07	1.089
c13g7.09c	0.871
c13g7.10	0.868
c13g7.11	0.963
c13g7.12c	1.038
c13g7.13c	0.619
c140.03	0.760
c140.04	0.948
c140.05	1.164
c1420.01c	1.003
c1420.04c	1.022
c144.01	1.179
c144.02	0.962
c144.05	0.917
c144.07c	1.094
c144.08	0.894
c144.09c	1.168
c144.10c	0.912
c144.12	1.405
c144.15c	0.831
c144.16	0.921
c144.17c	0.828
c144.18	0.952
c1442.02	0.978
c1442.03	1.046
c1442.04c	1.112
c1442.05c	1.004
c1442.06	0.771
c1442.07c	
c1442.08c	1.078
c1442.09	1.042
c1442.11c	
c1442.12	1.039
c1442.13c	0.888
c1442.14c	0.674
c1442.15c	1.164
c1442.17c	0.854
c145.02	1.030
c145.03	1.068
c1450.01c	0.529
c1450.03	1.170
c1450.05c	0.890
c1450.06c	
c1450.07c	
c1450.09c	0.698
c1450.10c	1.488
c1450.12	
c1450.13c	0.501
c1450.14c	1.027
c1450.15	1.003
c1450.16c	1.452
c146.01	0.889
c146.02	1.024
c146.04	0.720
c146.05c	1.071
c146.06c	1.278
