Gene name	Mean of ratios
	
3ha	
5srrna	1.562
aap1	0.723
aap1.rc	0.939
abc1: c2d10.18	1.031
abc1: c9e9.12c	1.213
abp1	0.810
abp2	0.679
act1.1.bud.75	
act1.5.bud.79	
act1: cps8: pi012	0.833
act2	1.170
ada1	0.959
ade10	0.640
ade1: min4	0.661
ade2: min10	1.204
ade3: min11	0.827
ade4: min13	0.861
ade5: ade8	0.745
ade6: min1	0.718
ade8	0.826
ade9	
adh1: adh	0.742
adk1	1.012
aes1	2.887
agl	1.183
ags1: mok1	0.690
ain1	1.391
alg11: gmd3	1.299
alm1	0.994
alp1	
alp11	1.341
alp13	1.066
alp14	0.722
alp16	1.114
alp21: sto1	1.862
alp31	1.077
alp4	0.943
alp41	0.624
alp6	0.744
alp7	0.932
anc1	1.356
apc1: apc10	1.022
apc5	0.913
ape1	
apg9	1.694
aph1	0.924
apl1	1.061
apl2	0.877
apl3: pi033	0.505
apl4	1.208
apl5	0.928
apl6	1.067
apm1	1.034
apm2	1.222
apm4	1.221
apn1	
app1	1.121
aps1	
aps2	
aps3	0.843
arf1	0.914
arg11	1.155
arg3	1.421
arg7	0.720
argx	1.514
aro1	0.923
arp10	0.934
arp2	1.121
ars2004	1.044
ars24-ctrl	1.394
ars3002	1.607
aru1	0.762
atf1: mts1: sss1: gad7.b	1.431
atf21	
atf31	1.609
atp1	1.022
atp1.rc	1.241
atp2	0.892
ats1	1.398
aur1	0.951
azr1	0.432
b13958-1	1.716
b13958-3	0.768
b20341-1	0.966
b20341-2	1.657
b20341-3	1.117
b22918-1	1.135
b22918-2	1.083
b8647-1	
b8647-2	0.962
b8647-3	0.856
b8647-4	1.861
b8647-5	0.420
bag1-a	0.881
bag1-b	1.041
bem46	0.877
bet1	0.916
bet3	0.987
bet5	1.146
bfr1: hba2	0.499
bgl2	0.711
bgs2: meu21	0.767
bgs3	0.740
bgs4	0.665
bio2	1.104
bip	1.045
bos1	1.369
bpb1: sf1	0.941
brc1	0.692
brd1	1.000
brr2	0.868
btf3	0.739
bub1	0.776
byr1: ste1	0.842
byr1: ste1.rc	0.899
byr2: ste8	1.360
byr3	0.442
byr4	1.010
c1002.01	0.703
c1002.02	0.908
c1002.03c	0.895
c1002.04c	1.173
c1002.05c	1.412
c1002.06c	0.970
c1002.08c	0.943
c1002.10c	0.981
c1002.11	0.820
c1002.12c	0.856
c1002.14	0.768
c1002.15c	0.904
c1002.16c	
c1002.17c	0.230
c1002.18	0.266
c1002.19	0.319
c1002.20	0.877
c1002.21	0.769
c1006.01	1.267
c1006.02	0.816
c1006.03c	1.097
c1006.04c	0.908
c1006.05c	1.161
c1006.06	0.804
c1020.03	
c1020.05	0.872
c1020.07	1.148
c1020.08	0.628
c1020.09	1.008
c1020.10	2.282
c1020.11c	0.992
c1020.12c	
c1020.13c	0.856
c1039.01	0.259
c1039.02	0.314
c1039.03	0.788
c1039.04	0.721
c1039.05c	0.613
c1039.06	0.683
c1039.07c	0.623
c1039.08	0.525
c105.01c	0.841
c105.02c	1.072
c105.03c	0.901
c106.02c	0.709
c106.03	1.163
c106.05c	1.136
c106.07c	1.106
c106.11c	2.224
c106.12c	1.322
c106.13	1.182
c106.14c	0.451
c106.16	1.090
c106.17c	0.369
c1071.01c	1.058
c1071.02	0.864
c1071.03c	0.944
c1071.04c	1.340
c1071.05	0.747
c1071.06	1.071
c1071.09c	1.685
c1071.09c.rc	1.447
c1071.11	0.501
c1071.11.rc	0.888
c1093.01	1.334
c1093.01.rc	1.407
c1093.02	1.930
c1093.03	
c1093.04c	0.848
c1093.05	0.586
c10f6.01c	0.762
c10f6.03c	0.631
c10f6.04	0.898
c10f6.07c	1.426
c10f6.08c	1.087
c10f6.10	0.808
c10f6.11c	0.926
c10f6.13c	1.807
c10f6.14c	0.898
c10f6.16	1.083
c10f6.17c	1.152
c110.02	1.080
c1105.01	0.879
c1105.02c	1.582
c1105.03c	1.532
c1105.06	0.802
c1105.07c	0.853
c1105.08	1.008
c1105.10	0.822
c1105.13c	2.173
c1105.14	1.412
c1105.15c	
c1105.16c	1.245
c1142.01	1.190
c1142.02c	0.947
c1142.04	0.550
c1142.05	0.662
c1142.06	1.201
c115.01c	0.547
c115.01c.rc	0.814
c115.02c	1.010
c115.03	0.772
c1183.02	1.259
c1183.03c	0.956
c1183.04c	1.036
c1183.07	0.665
c1183.09c	0.992
c119.03	1.447
c119.06	1.087
c119.07	0.955
c119.09c	1.690
c119.10	1.644
c119.12	0.877
c119.15	1.122
c119.16c	0.669
c119.18	0.856
c1198.01	0.736
c1198.02	0.371
c1198.03c	0.901
c1198.05	0.903
c1198.06c	1.398
c1198.07c	0.571
c1198.07c.rc	1.247
c1198.08	1.048
c1198.10c	1.083
c11c11.01	0.971
c11c11.05	0.676
c11c11.06c	2.526
c11c11.12	1.378
c11d3.01c	1.230
c11d3.02c	1.532
c11d3.03c	1.217
c11d3.04c	0.921
c11d3.05	1.392
c11d3.06	1.017
c11d3.07c	1.168
c11d3.08c	1.141
c11d3.09	2.458
c11d3.10	1.013
c11d3.11c	0.853
c11d3.13	0.982
c11d3.14c	1.243
c11d3.15	0.725
c11d3.16c	0.717
c11d3.17	0.733
c11d3.18c	0.999
c11e10.01	0.591
c11e10.03	1.109
c11e10.04	1.168
c11e10.05c	0.879
c11e10.06c	1.152
c11e10.07c	0.842
c11e3.01c	1.182
c11e3.02c	1.188
c11e3.03	0.728
c11e3.05	1.035
c11e3.07	1.500
c11e3.10	0.828
c11e3.10.rc	
c11e3.11c	0.810
c11e3.12	0.789
c11e3.13c	0.536
c11e3.14	1.994
c11g11.01	0.995
c11g11.03	0.449
c11g11.05	0.577
c11g7.01	0.814
c11g7.03	1.237
c11g7.05c	0.856
c11h11.01	1.192
c11h11.02c	0.544
c11h11.03c	0.749
c11h11.05c	1.090
c1215.01	0.824
c1215.02c	0.842
c1223.01	0.985
c1223.04c	
c1223.07c	1.357
c1223.09	0.249
c1223.10c	1.281
c1223.13	1.542
c1223.14.a	1.061
c1235.03	1.518
c1235.04c	1.515
c1235.05c	1.243
c1235.06	1.206
c1235.07	0.743
c1235.09	0.873
c1235.11	1.773
c1235.12c	1.426
c1250.01	1.103
c1250.02	1.329
c1250.04c	0.860
c1259.02c	0.945
c1259.04	1.152
c1259.05c	1.142
c1259.06	1.387
c1259.07	1.321
c1259.08	0.570
c1259.09c	2.123
c1259.10	1.488
c1259.11c	1.081
c1259.12c	0.986
c126.01c	0.798
c126.04c	0.927
c126.05c	
c126.06	1.183
c126.07c	1.040
c126.08c	0.987
c126.09	0.898
c126.11c	0.716
c126.12	0.830
c126.13c	1.004
c1271.01c	0.678
c1271.03c	1.110
c1271.04c	1.088
c1271.05c	1.231
c1271.06c	
c1271.07c	2.075
c1271.08c	3.222
c1271.09	0.999
c1271.10c	1.256
c1271.11	0.892
c1271.13	1.261
c1271.14	0.787
c1271.15c	0.899
c1281.03c	1.080
c1281.04.a	0.841
c1281.05	1.123
c1281.06c	1.075
c1281.07c	0.468
c1289.01c	0.872
c1289.01c.rc	1.366
c1289.05c	0.905
c1289.06c	1.881
c1289.08	0.616
c1289.09	1.301
c1289.10c	1.100
c1289.12	1.201
c1289.13c	1.066
c1296.01c	0.949
c1296.04	1.441
c1296.05c	0.736
c1296.06	1.057
c12b10.01c	1.276
c12b10.02c	1.343
c12b10.03	1.020
c12b10.04	0.788
c12b10.05	0.982
c12b10.06c	1.159
c12b10.07	1.126
c12b10.08c	0.828
c12b10.09	0.854
c12b10.10	1.583
c12b10.13	1.200
c12b10.14c	0.764
c12b10.15c	0.707
c12b10.16c	1.047
c12c2.03c	1.318
c12c2.04	1.992
c12c2.05c	
c12c2.05c.rc	0.871
c12c2.06	1.033
c12c2.07c	0.957
c12c2.08	1.053
c12c2.09c	0.942
c12c2.11	1.206
c12c2.12c	1.462
c12c2.14c	
c12d12.05c	0.770
c12d12.06	0.739
c12d12.07c	0.716
c12d12.09	0.794
c12g12.02	0.430
c12g12.03	1.064
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	0.543
c12g12.07c	1.120
c12g12.08	1.234
c12g12.09	0.879
c12g12.10	0.789
c12g12.11c	1.436
c12g12.12	1.277
c12g12.14c	1.172
c12g12.15	1.375
c12g12.16c	1.772
c1306.01c	1.085
c132.01c	
c132.02	0.915
c132.03	1.150
c132.04c	0.806
c1322.02	1.072
c1322.03	1.191
c1322.04	1.527
c1322.05c	2.016
c1322.06	0.887
c1322.07c	1.614
c1322.08	2.229
c1322.09	0.974
c1322.09.rc	1.126
c1322.10	0.866
c1322.14c	0.759
c1322.16	1.192
c1327.01c	0.661
c1346.03	0.906
c1347.01c	1.203
c1347.04	1.028
c1347.05c	1.081
c1347.07	0.967
c1347.08c	0.855
c1347.09	0.787
c1347.11	0.728
c1347.12	1.013
c1347.12.rc	
c1347.13c	1.116
c1347.14c	0.710
c1348.01	2.030
c1348.02	2.197
c1348.02.rc	2.128
c1348.03	1.230
c1348.04	1.587
c1348.05	1.399
c1348.06c	1.822
c1348.07	1.620
c1348.08c	
c1348.09	1.225
c1348.10c	1.053
c1348.11	1.468
c1348.12	
c1348.13	0.967
c1348.14c	1.583
c139.01c	0.849
c139.02c	1.747
c139.03	1.120
c139.04c	0.959
c139.05	1.813
c1393.02c	1.079
c1393.04	0.956
c1393.05	0.982
c1393.06c	0.749
c1393.07c	2.524
c1393.08	0.416
c1393.08.rc	0.496
c1393.09c	0.783
c1393.11	1.129
c1393.12	1.668
c1393.13	
c1399.01c	0.458
c1399.02	0.524
c1399.04c	0.262
c1399.05c	0.770
c13a11.01c	0.789
c13a11.03	1.129
c13a11.04c	1.104
c13a11.05	1.204
c13a2.01c	0.969
c13a2.02	0.968
c13a2.03	0.638
c13b11.02c	1.208
c13b11.03c	1.075
c13c5.01c	1.320
c13c5.02	0.727
c13c5.04	1.447
c13c5.04.rc	1.589
c13c5.05c	0.832
c13c5.06c	1.570
c13d6.01	1.921
c13d6.03c	0.856
c13d6.04c	0.916
c13e7.01	0.776
c13e7.02	1.075
c13e7.03c	0.892
c13e7.04	1.225
c13e7.05	0.861
c13e7.06	1.548
c13e7.07	0.809
c13e7.08c	1.271
c13e7.09	1.053
c13e7.09.rc	1.264
c13f5.03c	2.213
c13f5.04c	1.176
c13f5.05	1.537
c13f5.07c	1.355
c13g1.01c	1.066
c13g1.02	1.105
c13g1.03c	1.080
c13g1.04c	0.686
c13g1.05	
c13g1.06c	1.143
c13g1.07	1.236
c13g1.08c	0.832
c13g1.09	0.479
c13g1.10c	0.786
c13g1.12	0.551
c13g1.14c	0.999
c13g1.15c	1.077
c13g6.03	0.590
c13g6.05c	1.158
c13g6.06c	0.832
c13g6.08	1.040
c13g6.09	0.791
c13g6.10c	0.301
c13g6.11c	1.326
c13g7.02c.b	1.836
c13g7.03	1.554
c13g7.04c	0.585
c13g7.05	1.600
c13g7.06	1.304
c13g7.07	0.839
c13g7.09c	1.031
c13g7.10	0.948
c13g7.11	1.329
c13g7.12c	1.481
c13g7.13c	0.382
c140.03	0.738
c140.04	1.012
c140.05	0.874
c1420.01c	1.186
c1420.04c	1.000
c144.01	0.568
c144.02	0.933
c144.05	0.746
c144.07c	0.879
c144.08	0.974
c144.09c	1.022
c144.10c	1.345
c144.12	0.795
c144.15c	0.716
c144.16	1.219
c144.17c	0.846
c144.18	1.123
c1442.02	0.842
c1442.03	1.029
c1442.04c	1.991
c1442.05c	1.856
c1442.06	1.085
c1442.07c	2.138
c1442.08c	0.965
c1442.09	1.188
c1442.11c	
c1442.12	1.332
c1442.13c	
c1442.14c	
c1442.15c	1.526
c1442.17c	1.212
c145.02	1.130
c145.03	0.669
c1450.01c	1.046
c1450.03	0.515
c1450.05c	1.701
c1450.06c	
c1450.07c	1.627
c1450.09c	1.104
c1450.10c	
c1450.12	
c1450.13c	1.238
c1450.14c	1.202
c1450.15	1.161
c1450.16c	1.344
c146.01	1.429
c146.02	1.367
c146.04	1.302
c146.05c	1.118
c146.06c	1.431
c146.08c	1.068
