Gene name	Mean of ratios
c1259.06	1.079
c1259.07	0.959
c1259.08	1.067
c1259.09c	0.867
c1259.10	0.940
c1259.11c	0.989
c1259.12c	1.054
c126.01c	1.002
c126.04c	0.763
c126.05c	1.160
c126.06	0.863
c126.07c	0.882
c126.08c	0.912
c126.09	0.905
c126.11c	1.026
c126.12	1.041
c126.13c	1.108
c1271.01c	0.999
c1271.03c	0.999
c1271.04c	1.161
c1271.05c	0.482
c1271.06c	
c1271.07c	0.563
c1271.08c	0.376
c1271.09	0.972
c1271.10c	1.181
c1271.11	1.070
c1271.13	1.005
c1271.14	0.963
c1271.15c	1.140
c1281.03c	1.029
c1281.04.a	0.779
c1281.05	0.909
c1281.06c	1.458
c1281.07c	0.380
c1289.01c	0.837
c1289.01c.rc	1.147
c1289.05c	0.885
c1289.06c	0.985
c1289.08	1.235
c1289.09	0.996
c1289.10c	0.922
c1289.12	1.016
c1289.13c	1.030
c1296.01c	0.993
c1296.04	1.068
c1296.05c	1.041
c1296.06	0.873
c12b10.01c	0.734
c12b10.02c	0.885
c12b10.03	0.877
c12b10.04	1.178
c12b10.05	1.042
c12b10.06c	0.940
c12b10.07	0.899
c12b10.08c	1.060
c12b10.09	1.124
c12b10.10	1.738
c12b10.13	0.738
c12b10.14c	0.896
c12b10.15c	0.976
c12b10.16c	0.938
c12c2.03c	0.821
c12c2.04	0.809
c12c2.05c	
c12c2.05c.rc	1.037
c12c2.06	0.968
c12c2.07c	1.160
c12c2.08	0.981
c12c2.09c	0.968
c12c2.11	0.942
c12c2.12c	0.971
c12c2.14c	
c12d12.05c	1.094
c12d12.06	1.130
c12d12.07c	0.835
c12d12.09	1.027
c12g12.02	1.191
c12g12.03	1.089
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	1.134
c12g12.07c	1.003
c12g12.08	0.987
c12g12.09	0.916
c12g12.10	0.924
c12g12.11c	0.913
c12g12.12	0.865
c12g12.14c	0.945
c12g12.15	0.962
c12g12.16c	1.016
c1306.01c	1.180
c132.01c	
c132.02	1.199
c132.03	0.895
c132.04c	0.710
c1322.02	0.828
c1322.03	0.766
c1322.04	1.083
c1322.05c	1.768
c1322.06	1.152
c1322.07c	1.245
c1322.08	1.198
c1322.09	0.946
c1322.09.rc	1.058
c1322.10	0.844
c1322.14c	0.994
c1322.16	0.971
c1327.01c	0.801
c1346.03	0.897
c1347.01c	0.893
c1347.04	1.001
c1347.05c	0.999
c1347.07	0.937
c1347.08c	0.965
c1347.09	0.909
c1347.11	0.710
c1347.12	1.293
c1347.12.rc	
c1347.13c	1.147
c1347.14c	0.727
c1348.01	0.734
c1348.02	0.550
c1348.02.rc	1.039
c1348.03	0.849
c1348.04	0.905
c1348.05	0.740
c1348.06c	1.244
c1348.07	0.678
c1348.08c	
c1348.09	1.047
c1348.10c	1.054
c1348.11	1.326
c1348.12	
c1348.13	1.372
c1348.14c	1.199
c139.01c	1.132
c139.02c	0.895
c139.03	0.935
c139.04c	0.845
c139.05	0.582
c1393.02c	0.928
c1393.04	0.919
c1393.05	1.076
c1393.06c	1.202
c1393.07c	1.161
c1393.08	1.322
c1393.08.rc	1.285
c1393.09c	1.073
c1393.11	1.008
c1393.12	0.392
c1393.13	
c1399.01c	0.373
c1399.02	0.768
c1399.04c	0.501
c1399.05c	0.777
c13a11.01c	0.775
c13a11.03	1.386
c13a11.04c	1.289
c13a11.05	1.001
c13a2.01c	0.902
c13a2.02	1.096
c13a2.03	0.957
c13b11.02c	1.022
c13b11.03c	1.277
c13c5.01c	0.823
c13c5.02	1.008
c13c5.04	0.539
c13c5.04.rc	0.790
c13c5.05c	0.907
c13c5.06c	0.985
c13d6.01	0.662
c13d6.03c	1.165
c13d6.04c	0.881
c13e7.01	1.041
c13e7.02	0.861
c13e7.03c	0.724
c13e7.04	1.152
c13e7.05	1.010
c13e7.06	1.494
c13e7.07	1.044
c13e7.08c	0.969
c13e7.09	0.969
c13e7.09.rc	1.196
c13f5.03c	1.041
c13f5.04c	1.280
c13f5.05	1.069
c13f5.07c	0.755
c13g1.01c	1.211
c13g1.02	0.936
c13g1.03c	0.959
c13g1.04c	1.245
c13g1.05	1.209
c13g1.06c	0.964
c13g1.07	1.038
c13g1.08c	1.129
c13g1.09	0.991
c13g1.10c	0.900
c13g1.12	0.866
c13g1.14c	0.983
c13g1.15c	1.197
c13g6.03	1.030
c13g6.05c	1.016
c13g6.06c	1.247
c13g6.08	1.546
c13g6.09	1.138
c13g6.10c	0.896
c13g6.11c	1.036
c13g7.02c.b	1.008
c13g7.03	1.031
c13g7.04c	0.752
c13g7.05	1.290
c13g7.06	0.953
c13g7.07	1.110
c13g7.09c	0.820
c13g7.10	0.864
c13g7.11	0.962
c13g7.12c	1.016
c13g7.13c	0.591
c140.03	0.808
c140.04	0.951
c140.05	1.243
c1420.01c	0.987
c1420.04c	1.006
c144.01	1.112
c144.02	0.963
c144.05	0.940
c144.07c	1.034
c144.08	0.878
c144.09c	1.025
c144.10c	0.895
c144.12	1.323
c144.15c	0.888
c144.16	0.914
c144.17c	0.887
c144.18	0.969
c1442.02	0.921
c1442.03	0.967
c1442.04c	1.258
c1442.05c	0.937
c1442.06	0.791
c1442.07c	0.977
c1442.08c	1.098
c1442.09	1.048
c1442.11c	
c1442.12	1.100
c1442.13c	0.993
c1442.14c	
c1442.15c	1.256
c1442.17c	0.839
c145.02	1.065
c145.03	0.981
c1450.01c	0.547
c1450.03	1.090
c1450.05c	0.755
c1450.06c	1.073
c1450.07c	0.912
c1450.09c	1.121
c1450.10c	1.222
c1450.12	
c1450.13c	0.511
c1450.14c	0.983
c1450.15	1.028
c1450.16c	1.577
c146.01	0.908
c146.02	1.255
c146.04	0.760
c146.05c	1.064
c146.06c	1.260
c146.08c	1.014
c146.09c	1.004
c146.10	0.848
c146.11c	1.174
c146.12	
c146.13c	0.951
c1486.02c	0.951
c1486.03c	1.161
c1486.05	0.922
c1486.06	0.996
c1486.07c	0.974
c1486.08	0.998
c1486.09	1.200
c1494.02c	1.120
c1494.03	1.588
c1494.04c	
c1494.05c	1.096
c1494.06c	1.347
c1494.07	1.058
c1494.08c	1.009
c1494.09c	1.059
c14c4.01c	0.763
c14c4.05c	
c14c4.06c	0.897
c14c4.07	0.607
c14c4.08	
c14c4.09.b	0.806
c14c4.10c	0.901
c14c4.11	1.061
c14c4.12c	0.825
c14c4.16	
c14c8.02	1.246
c14c8.03	1.135
c14c8.04	1.157
c14c8.08c	1.011
c14c8.09c	0.977
c14c8.10	0.955
c14c8.11c	1.450
c14c8.13	1.371
c14c8.15	1.277
c14c8.16c	1.060
c14c8.17c	1.077
c14c8.18c	1.085
c14f5.01	1.099
c14f5.02	0.926
c14f5.06	1.258
c14f5.07	0.866
c14f5.10c	0.841
c14f5.11c	0.744
c14f5.13c	0.840
c14g10.03c	0.776
c14g10.04	0.893
c14g10.04.rc	1.037
c1527.03	1.118
c1539.01c	1.000
c1539.02	1.184
c1539.04	0.851
c1539.05	1.165
c1539.06	0.854
c1539.07c	0.770
c1539.08	0.903
c1539.10	1.363
c1556.01c	0.747
c1556.02c	1.331
c1556.05c	1.047
c1556.06b	
c1565.01	0.901
c1565.02c	0.849
c1565.03	
c1565.05	1.226
c1565.07c	0.835
c15a10.01	0.832
c15a10.02	0.988
c15a10.05c	0.665
c15a10.06	0.982
c15a10.07	0.732
c15a10.09c	0.934
c15a10.10	
c15a10.11	0.997
c15a10.12c	0.867
c15a10.13	1.392
c15a10.15	0.960
c15c4.02	1.123
c15c4.03	1.083
c15c4.04c	1.165
c15c4.05	0.979
c15c4.05.rc	1.378
c15d4.02	1.005
c15d4.05	1.115
c15d4.06	1.165
c15d4.08c	0.983
c15d4.09c	1.054
c15d4.10c	0.954
c15d4.11c	0.974
c15d4.12c	1.129
c15d4.13c	0.965
c15e1.02c	0.323
c15e1.04	0.923
c15e1.05c	0.955
c15e1.07c	
c15e1.08	1.084
c15e1.09	0.978
c15f9.01c	1.055
c15f9.02	0.960
c15f9.02.rc	1.277
c15f9.03c	1.011
c16.03c	1.110
c16.04	1.042
c16.05c	0.786
c1604.02c	0.850
c1604.02c.rc	1.037
c1604.03c	0.852
c1604.04	1.090
c1604.06c	1.230
c1604.07	1.056
c1604.08c	1.018
c1604.09c	1.217
c1604.10	0.960
c1604.11	1.060
c1604.12	0.874
c1604.13c	0.974
c1604.15	0.789
c1604.16c	0.880
c1604.17c	1.114
c1604.18c	1.300
c1604.19c	0.985
c1610.01	1.094
c1610.02c	0.988
c1610.04	1.058
c162.01c	1.200
c162.02c	1.350
c162.03	1.215
c162.05	0.969
c162.06c	0.890
c162.07	0.851
c162.08c	0.770
c162.10	1.244
c162.11c	1.040
c162.12	0.948
c1620.03	0.727
c1620.04c	0.986
c1620.05	1.032
c1620.06c	1.200
c1620.07c	0.975
c1620.08	1.493
c1620.09c	0.850
c1620.10	0.915
c1620.11	0.936
c1620.12c	0.838
c1620.13	0.982
c1635.01	0.771
c1639.01c	0.989
c1652.01	0.945
c167.01	0.920
c167.04	0.991
c167.05	0.861
c167.06c	0.839
c167.07c	0.685
c1672.01	0.901
c1672.01.rc	1.031
c1672.03c	0.828
c1672.04c	0.977
c1672.05c	1.199
c1672.06c	0.896
c1672.07	1.139
c1672.09	1.028
c1672.10	1.032
c1672.11c	1.054
c1672.12c	0.853
c1677.01c	0.395
c1677.02	0.921
c1677.03c	1.074
c1682.01	1.048
c1682.03c	0.989
c1682.04	1.019
c1682.05c	
c1682.06	0.789
c1682.08c	1.015
c1682.09c	1.205
c1682.11c	0.636
c1682.12c	0.922
c1682.13	1.090
c1682.15	1.095
c1683.01	1.083
c1683.02	0.925
c1683.03c	0.832
c1683.04	0.944
c1683.05	0.789
c1683.06c	0.351
c1683.07	0.630
c1683.10c	1.247
c1683.11c	0.933
c1683.12	0.803
c1683.13c	0.860
c1685.03	1.092
c1685.04	1.097
c1685.05	
c1685.07c	1.149
c1685.08	0.817
c1685.11	0.915
c1685.11.rc	1.081
c1685.12c	
c1685.13	1.220
c1685.13.rc	1.390
c1685.14c	0.685
c1685.16	
c1687.02	1.478
c1687.04	1.057
c1687.05	0.771
c1687.07	0.745
c1687.08	0.692
c1687.09	0.808
c1687.10	1.030
c1687.12c	0.912
c1687.14c	0.751
c1687.16c	1.086
c1687.17c	
c1687.18c	0.997
c1687.19c	1.182
c1687.23c	
c16a10.01	1.098
c16a10.02	1.063
c16a10.04	0.958
c16a10.04.rc	
c16a10.05c	0.819
c16a10.06c	0.976
c16a11.01	1.194
c16a11.02	1.147
c16a11.03c	
c16a11.04	0.853
c16a11.06c	1.141
c16a11.07	0.899
c16a11.08	
c16a11.09c	
c16a11.10c	1.091
c16a11.11	1.002
c16a11.12c	1.235
c16a11.14	0.873
c16a11.15c	0.439
c16a11.16c	1.061
c16a3.02c	0.514
c16a3.03c	0.853
c16a3.03c.rc	0.986
c16a3.04	0.955
c16a3.06	0.992
c16a3.07c	0.927
c16a3.07c.rc	1.297
c16a3.08c	1.150
c16a3.10	0.930
c16a3.12c	1.064
c16a3.14	0.931
c16a3.16	0.921
c16a3.17c	0.730
c16a3.18	0.846
c16a3.19	1.091
c16c4.02c	1.142
c16c4.03	0.907
c16c4.03.rc	0.994
c16c4.04	1.000
c16c4.05	0.943
c16c4.06c	1.003
c16c4.07	0.732
c16c4.08c	1.258
c16c4.10	0.840
c16c4.12	1.007
c16c4.15	1.014
c16c4.16c	0.977
c16c4.17	0.694
c16c4.18c	0.947
c16c4.19	1.209
c16c4.20c	0.923
c16c4.21	0.733
c16c6.01c	1.159
c16c6.03c	1.132
c16c6.04	0.956
c16c6.05	1.053
c16c6.08c	1.074
c16c6.09	1.066
c16c6.12c	1.251
c16c9.01c	0.913
c16c9.02c	1.394
c16c9.03	1.267
c16c9.04c	0.933
c16c9.05	0.878
c16c9.06c	0.960
c16d10.01c	1.255
c16d10.02	1.309
c16d10.03	1.119
c16d10.06	0.788
c16d10.07c	1.098
c16d10.08c	1.002
c16d10.10	1.033
c16e8.01	1.035
c16e8.02	0.797
c16e8.04c	0.983
c16e8.06c	1.369
c16e8.07c	1.027
c16e8.08	0.839
c16e8.10c	1.159
c16e8.11c	0.999
c16e8.12c	0.958
c16e8.13	0.908
c16e8.14c	1.130
c16e8.16	0.695
c16e8.17c	1.092
c16e8.18	1.020
c16e9.01c	0.799
c16e9.02c	0.966
c16e9.03c	0.933
c16e9.05	1.050
c16e9.07	0.962
c16e9.08	0.975
c16e9.09c	0.938
c16e9.10c	1.305
c16e9.11c	0.991
