Gene name	Mean of ratios
	
3ha	
5srrna	1.350
aap1	0.823
aap1.rc	0.949
abc1: c2d10.18	1.135
abc1: c9e9.12c	1.446
abp1	0.776
abp2	0.617
act1.1.bud.75	
act1.5.bud.79	
act1: cps8: pi012	0.852
act2	1.203
ada1	1.050
ade10	0.608
ade1: min4	0.532
ade2: min10	1.152
ade3: min11	0.783
ade4: min13	0.774
ade5: ade8	0.672
ade6: min1	0.719
ade8	0.765
ade9	
adh1: adh	0.641
adk1	0.950
aes1	2.365
agl	1.071
ags1: mok1	0.731
ain1	1.280
alg11: gmd3	1.445
alm1	1.033
alp1	
alp11	1.332
alp13	1.263
alp14	0.688
alp16	1.178
alp21: sto1	1.411
alp31	1.049
alp4	1.098
alp41	0.617
alp6	0.865
alp7	0.859
anc1	1.503
apc1: apc10	1.058
apc5	0.764
ape1	
apg9	1.906
aph1	0.850
apl1	1.443
apl2	0.913
apl3: pi033	0.553
apl4	0.971
apl5	1.027
apl6	0.936
apm1	0.979
apm2	1.217
apm4	1.200
apn1	
app1	1.223
aps1	
aps2	
aps3	0.835
arf1	0.930
arg11	1.160
arg3	1.460
arg7	0.823
argx	1.422
aro1	0.936
arp10	0.908
arp2	1.193
ars2004	
ars24-ctrl	1.472
ars3002	
aru1	0.641
atf1: mts1: sss1: gad7.b	1.627
atf21	
atf31	1.359
atp1	0.990
atp1.rc	1.185
atp2	0.903
ats1	1.340
aur1	0.877
azr1	0.471
b13958-1	1.732
b13958-3	0.673
b20341-1	0.975
b20341-2	1.402
b20341-3	1.168
b22918-1	1.248
b22918-2	1.168
b8647-1	
b8647-2	1.002
b8647-3	0.901
b8647-4	1.769
b8647-5	0.476
bag1-a	0.902
bag1-b	1.025
bem46	0.880
bet1	0.859
bet3	0.948
bet5	1.119
bfr1: hba2	0.492
bgl2	0.727
bgs2: meu21	0.891
bgs3	0.685
bgs4	0.637
bio2	0.987
bip	1.015
bos1	1.421
bpb1: sf1	0.989
brc1	0.874
brd1	1.013
brr2	1.015
btf3	0.637
bub1	0.775
byr1: ste1	0.938
byr1: ste1.rc	0.931
byr2: ste8	1.557
byr3	0.396
byr4	1.022
c1002.01	0.700
c1002.02	0.914
c1002.03c	0.909
c1002.04c	1.332
c1002.05c	
c1002.06c	0.852
c1002.08c	0.898
c1002.10c	1.062
c1002.11	0.955
c1002.12c	0.931
c1002.14	1.139
c1002.15c	0.912
c1002.16c	
c1002.17c	0.204
c1002.18	0.234
c1002.19	0.265
c1002.20	1.204
c1002.21	0.730
c1006.01	1.322
c1006.02	0.786
c1006.03c	1.121
c1006.04c	0.865
c1006.05c	1.090
c1006.06	0.833
c1020.03	
c1020.05	0.887
c1020.07	1.065
c1020.08	0.558
c1020.09	0.943
c1020.10	2.306
c1020.11c	1.004
c1020.12c	
c1020.13c	0.816
c1039.01	0.267
c1039.02	0.255
c1039.03	
c1039.04	0.716
c1039.05c	0.795
c1039.06	0.730
c1039.07c	0.640
c1039.08	0.788
c105.01c	1.243
c105.02c	1.111
c105.03c	0.966
c106.02c	0.895
c106.03	1.269
c106.05c	1.129
c106.07c	1.158
c106.11c	2.223
c106.12c	1.195
c106.13	1.441
c106.14c	
c106.16	1.100
c106.17c	0.420
c1071.01c	1.023
c1071.02	0.846
c1071.03c	1.008
c1071.04c	1.399
c1071.05	0.815
c1071.06	1.100
c1071.09c	1.375
c1071.09c.rc	1.434
c1071.11	0.559
c1071.11.rc	
c1093.01	1.405
c1093.01.rc	1.303
c1093.02	1.877
c1093.03	
c1093.04c	0.800
c1093.05	0.520
c10f6.01c	0.629
c10f6.03c	0.505
c10f6.04	1.183
c10f6.07c	1.354
c10f6.08c	1.192
c10f6.10	0.908
c10f6.11c	1.035
c10f6.13c	1.813
c10f6.14c	0.998
c10f6.16	1.114
c10f6.17c	1.054
c110.02	1.207
c1105.01	0.833
c1105.02c	1.427
c1105.03c	1.424
c1105.06	0.896
c1105.07c	0.849
c1105.08	1.118
c1105.10	1.031
c1105.13c	2.005
c1105.14	1.510
c1105.15c	
c1105.16c	1.347
c1142.01	1.156
c1142.02c	0.923
c1142.04	0.425
c1142.05	0.660
c1142.06	1.202
c115.01c	0.473
c115.01c.rc	0.665
c115.02c	1.088
c115.03	0.905
c1183.02	1.269
c1183.03c	0.962
c1183.04c	1.021
c1183.07	0.489
c1183.09c	1.107
c119.03	1.578
c119.06	1.180
c119.07	1.083
c119.09c	1.706
c119.10	1.552
c119.12	0.850
c119.15	1.004
c119.16c	0.693
c119.18	0.833
c1198.01	0.905
c1198.02	0.391
c1198.03c	0.840
c1198.05	0.895
c1198.06c	1.401
c1198.07c	0.545
c1198.07c.rc	0.984
c1198.08	0.958
c1198.10c	1.115
c11c11.01	1.086
c11c11.05	0.587
c11c11.06c	2.729
c11c11.12	1.488
c11d3.01c	1.381
c11d3.02c	1.380
c11d3.03c	0.775
c11d3.04c	0.894
c11d3.05	1.610
c11d3.06	1.125
c11d3.07c	1.100
c11d3.08c	1.303
c11d3.09	2.530
c11d3.10	1.091
c11d3.11c	0.918
c11d3.13	1.029
c11d3.14c	1.066
c11d3.15	0.803
c11d3.16c	0.691
c11d3.17	1.007
c11d3.18c	
c11e10.01	0.598
c11e10.03	1.476
c11e10.04	1.051
c11e10.05c	0.845
c11e10.06c	1.134
c11e10.07c	0.805
c11e3.01c	1.123
c11e3.02c	1.335
c11e3.03	0.897
c11e3.05	1.102
c11e3.07	1.354
c11e3.10	0.769
c11e3.10.rc	
c11e3.11c	0.803
c11e3.12	0.890
c11e3.13c	0.528
c11e3.14	2.127
c11g11.01	1.031
c11g11.03	0.431
c11g11.05	0.457
c11g7.01	0.789
c11g7.03	1.235
c11g7.05c	0.872
c11h11.01	1.242
c11h11.02c	0.555
c11h11.03c	0.679
c11h11.05c	1.033
c1215.01	0.853
c1215.02c	0.770
c1223.01	
c1223.04c	
c1223.07c	1.178
c1223.09	0.402
c1223.10c	1.349
c1223.13	
c1223.14.a	0.680
c1235.03	1.450
c1235.04c	1.529
c1235.05c	2.065
c1235.06	1.286
c1235.07	0.648
c1235.09	0.829
c1235.11	1.681
c1235.12c	1.442
c1250.01	1.173
c1250.02	1.395
c1250.04c	1.306
c1259.02c	1.038
c1259.04	1.142
c1259.05c	1.143
c1259.06	1.378
c1259.07	1.314
c1259.08	0.573
c1259.09c	2.092
c1259.10	1.356
c1259.11c	1.028
c1259.12c	1.356
c126.01c	1.023
c126.04c	0.987
c126.05c	0.803
c126.06	1.231
c126.07c	0.884
c126.08c	0.948
c126.09	0.957
c126.11c	0.656
c126.12	0.775
c126.13c	0.870
c1271.01c	
c1271.03c	1.157
c1271.04c	0.998
c1271.05c	1.501
c1271.06c	
c1271.07c	1.958
c1271.08c	3.183
c1271.09	0.961
c1271.10c	1.239
c1271.11	0.932
c1271.13	1.161
c1271.14	0.859
c1271.15c	0.929
c1281.03c	1.035
c1281.04.a	1.291
c1281.05	1.157
c1281.06c	1.114
c1281.07c	0.543
c1289.01c	0.847
c1289.01c.rc	1.205
c1289.05c	0.827
c1289.06c	1.773
c1289.08	0.637
c1289.09	1.150
c1289.10c	1.057
c1289.12	1.110
c1289.13c	1.114
c1296.01c	0.978
c1296.04	1.458
c1296.05c	0.806
c1296.06	1.075
c12b10.01c	1.519
c12b10.02c	1.383
c12b10.03	1.148
c12b10.04	0.739
c12b10.05	1.429
c12b10.06c	1.421
c12b10.07	1.151
c12b10.08c	0.868
c12b10.09	0.789
c12b10.10	1.327
c12b10.13	1.286
c12b10.14c	0.857
c12b10.15c	0.756
c12b10.16c	1.139
c12c2.03c	1.263
c12c2.04	2.218
c12c2.05c	
c12c2.05c.rc	0.888
c12c2.06	0.932
c12c2.07c	0.897
c12c2.08	1.451
c12c2.09c	1.070
c12c2.11	1.162
c12c2.12c	1.508
c12c2.14c	
c12d12.05c	0.847
c12d12.06	0.722
c12d12.07c	0.682
c12d12.09	0.831
c12g12.02	0.357
c12g12.03	1.066
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	0.491
c12g12.07c	1.019
c12g12.08	1.243
c12g12.09	0.835
c12g12.10	0.802
c12g12.11c	1.084
c12g12.12	1.399
c12g12.14c	1.221
c12g12.15	1.339
c12g12.16c	1.947
c1306.01c	1.183
c132.01c	
c132.02	0.847
c132.03	1.198
c132.04c	0.962
c1322.02	1.288
c1322.03	1.179
c1322.04	1.774
c1322.05c	1.664
c1322.06	0.856
c1322.07c	1.881
c1322.08	2.266
c1322.09	0.919
c1322.09.rc	0.995
c1322.10	0.946
c1322.14c	0.708
c1322.16	1.120
c1327.01c	0.665
c1346.03	0.903
c1347.01c	1.415
c1347.04	0.994
c1347.05c	1.095
c1347.07	0.963
c1347.08c	0.911
c1347.09	0.946
c1347.11	0.778
c1347.12	0.704
c1347.12.rc	
c1347.13c	1.018
c1347.14c	0.824
c1348.01	1.244
c1348.02	1.072
c1348.02.rc	1.441
c1348.03	1.246
c1348.04	1.309
c1348.05	1.422
c1348.06c	
c1348.07	1.403
c1348.08c	
c1348.09	1.366
c1348.10c	1.028
c1348.11	1.310
c1348.12	
c1348.13	0.903
c1348.14c	0.891
c139.01c	0.821
c139.02c	1.811
c139.03	1.191
c139.04c	1.069
c139.05	3.132
c1393.02c	1.099
c1393.04	1.239
c1393.05	1.074
c1393.06c	0.682
c1393.07c	
c1393.08	0.369
c1393.08.rc	0.414
c1393.09c	0.656
c1393.11	1.050
c1393.12	2.428
c1393.13	
c1399.01c	0.477
c1399.02	0.491
c1399.04c	0.277
c1399.05c	0.850
c13a11.01c	0.875
c13a11.03	1.010
c13a11.04c	1.994
c13a11.05	1.189
c13a2.01c	0.930
c13a2.02	0.948
c13a2.03	0.657
c13b11.02c	1.115
c13b11.03c	0.859
c13c5.01c	1.250
c13c5.02	0.778
c13c5.04	1.955
c13c5.04.rc	1.862
c13c5.05c	0.849
c13c5.06c	1.614
c13d6.01	1.935
c13d6.03c	0.770
c13d6.04c	1.098
c13e7.01	0.796
c13e7.02	1.153
c13e7.03c	0.934
c13e7.04	1.213
c13e7.05	1.006
c13e7.06	
c13e7.07	0.769
c13e7.08c	1.085
c13e7.09	1.145
c13e7.09.rc	1.206
c13f5.03c	1.862
c13f5.04c	1.167
c13f5.05	1.612
c13f5.07c	1.548
c13g1.01c	1.022
c13g1.02	1.187
c13g1.03c	1.087
c13g1.04c	0.555
c13g1.05	1.432
c13g1.06c	1.355
c13g1.07	1.168
c13g1.08c	0.853
c13g1.09	0.437
c13g1.10c	0.773
c13g1.12	0.545
c13g1.14c	0.935
c13g1.15c	
c13g6.03	0.722
c13g6.05c	1.247
c13g6.06c	0.866
c13g6.08	
c13g6.09	0.813
c13g6.10c	0.276
c13g6.11c	1.313
c13g7.02c.b	1.834
c13g7.03	1.451
c13g7.04c	0.610
c13g7.05	1.686
c13g7.06	1.332
c13g7.07	0.776
c13g7.09c	1.091
c13g7.10	0.948
c13g7.11	1.423
c13g7.12c	1.353
c13g7.13c	0.447
c140.03	0.766
c140.04	1.000
c140.05	0.793
c1420.01c	1.116
c1420.04c	0.912
c144.01	0.441
c144.02	0.920
c144.05	0.768
c144.07c	0.866
c144.08	0.995
c144.09c	1.098
c144.10c	1.291
c144.12	0.707
c144.15c	0.748
c144.16	1.212
c144.17c	0.914
c144.18	1.100
c1442.02	0.731
c1442.03	1.011
c1442.04c	
c1442.05c	
c1442.06	0.984
c1442.07c	
c1442.08c	0.983
c1442.09	1.060
c1442.11c	
c1442.12	1.268
c1442.13c	
c1442.14c	
c1442.15c	1.168
c1442.17c	1.165
c145.02	1.018
c145.03	0.712
c1450.01c	1.061
c1450.03	0.429
c1450.05c	1.957
c1450.06c	
c1450.07c	
c1450.09c	1.448
c1450.10c	
c1450.12	
c1450.13c	1.540
c1450.14c	
c1450.15	1.297
c1450.16c	
c146.01	1.390
c146.02	1.435
c146.04	1.438
c146.05c	1.059
c146.06c	1.560
c146.08c	0.900
c146.09c	1.220
c146.10	
c146.11c	2.101
c146.12	
c146.13c	1.101
c1486.02c	
c1486.03c	
