Gene name	Mean of ratios
	
3ha	
5srrna	1.311
aap1	1.181
aap1.rc	1.173
abc1: c2d10.18	0.978
abc1: c9e9.12c	0.446
abp1	0.915
abp2	1.124
act1.1.bud.75	1.065
act1.5.bud.79	
act1: cps8: pi012	0.867
act2	0.785
ada1	0.839
ade10	1.355
ade1: min4	1.349
ade2: min10	0.926
ade3: min11	1.167
ade4: min13	1.111
ade5: ade8	1.158
ade6: min1	1.082
ade8	1.120
ade9	2.192
adh1: adh	1.056
adk1	0.940
aes1	0.453
agl	1.003
ags1: mok1	1.222
ain1	1.198
alg11: gmd3	1.115
alm1	0.998
alp1	
alp11	0.676
alp13	0.913
alp14	1.118
alp16	0.897
alp21: sto1	1.004
alp31	0.977
alp4	0.937
alp41	1.316
alp6	1.217
alp7	1.194
anc1	0.968
apc1: apc10	0.878
apc5	1.070
ape1	
apg9	0.637
aph1	0.980
apl1	0.890
apl2	0.963
apl3: pi033	1.162
apl4	0.798
apl5	1.156
apl6	0.985
apm1	0.819
apm2	0.895
apm4	0.892
apn1	
app1	0.839
aps1	1.341
aps2	
aps3	1.002
arf1	1.029
arg11	1.001
arg3	0.828
arg7	1.185
argx	0.863
aro1	1.132
arp10	0.955
arp2	0.750
ars2004	1.349
ars24-ctrl	0.807
ars3002	1.462
aru1	1.344
atf1: mts1: sss1: gad7.b	0.403
atf21	
atf31	1.110
atp1	1.087
atp1.rc	1.053
atp2	1.195
ats1	0.696
aur1	1.101
azr1	1.291
b13958-1	0.596
b13958-3	0.975
b20341-1	1.056
b20341-2	1.204
b20341-3	1.063
b22918-1	0.963
b22918-2	0.753
b8647-1	1.037
b8647-2	1.281
b8647-3	1.063
b8647-4	0.998
b8647-5	0.479
bag1-a	0.900
bag1-b	1.060
bem46	1.152
bet1	0.978
bet3	0.890
bet5	0.872
bfr1: hba2	0.503
bgl2	0.835
bgs2: meu21	0.869
bgs3	1.363
bgs4	1.342
bio2	1.174
bip	0.887
bos1	0.900
bpb1: sf1	1.111
brc1	1.260
brd1	1.042
brr2	1.197
btf3	1.126
bub1	1.320
byr1: ste1	0.850
byr1: ste1.rc	1.046
byr2: ste8	0.607
byr3	1.387
byr4	1.125
c1002.01	1.166
c1002.02	0.965
c1002.03c	1.141
c1002.04c	0.816
c1002.05c	0.975
c1002.06c	1.114
c1002.08c	1.093
c1002.10c	0.922
c1002.11	0.969
c1002.12c	0.694
c1002.14	0.799
c1002.15c	0.948
c1002.16c	1.361
c1002.17c	0.701
c1002.18	0.982
c1002.19	0.598
c1002.20	0.947
c1002.21	1.063
c1006.01	0.572
c1006.02	1.040
c1006.03c	0.975
c1006.04c	1.330
c1006.05c	1.012
c1006.06	0.993
c1020.03	
c1020.05	0.974
c1020.07	0.970
c1020.08	1.433
c1020.09	1.204
c1020.10	0.377
c1020.11c	0.992
c1020.12c	
c1020.13c	0.913
c1039.01	1.047
c1039.02	1.093
c1039.03	1.136
c1039.04	1.327
c1039.05c	1.450
c1039.06	0.885
c1039.07c	0.928
c1039.08	0.922
c105.01c	1.017
c105.02c	0.845
c105.03c	1.059
c106.02c	0.102
c106.03	0.610
c106.05c	0.936
c106.07c	0.737
c106.11c	0.375
c106.12c	0.921
c106.13	0.665
c106.14c	1.498
c106.16	0.749
c106.17c	0.785
c1071.01c	1.082
c1071.02	1.054
c1071.03c	1.008
c1071.04c	0.899
c1071.05	1.138
c1071.06	1.108
c1071.09c	1.175
c1071.09c.rc	1.090
c1071.11	1.331
c1071.11.rc	1.354
c1093.01	0.965
c1093.01.rc	0.947
c1093.02	0.673
c1093.03	
c1093.04c	1.021
c1093.05	1.374
c10f6.01c	1.290
c10f6.03c	1.395
c10f6.04	0.899
c10f6.07c	0.944
c10f6.08c	1.064
c10f6.10	1.195
c10f6.11c	0.677
c10f6.13c	0.559
c10f6.14c	1.026
c10f6.16	0.759
c10f6.17c	0.975
c110.02	0.828
c1105.01	1.213
c1105.02c	0.757
c1105.03c	1.009
c1105.06	1.088
c1105.07c	1.054
c1105.08	0.937
c1105.10	0.972
c1105.13c	0.273
c1105.14	0.182
c1105.15c	
c1105.16c	0.950
c1142.01	0.906
c1142.02c	0.977
c1142.04	1.485
c1142.05	0.850
c1142.06	0.948
c115.01c	1.266
c115.01c.rc	1.183
c115.02c	0.848
c115.03	0.944
c1183.02	0.817
c1183.03c	0.913
c1183.04c	0.938
c1183.07	1.392
c1183.09c	0.725
c119.03	0.250
c119.06	0.898
c119.07	0.856
c119.09c	0.607
c119.10	0.765
c119.12	1.045
c119.15	0.922
c119.16c	1.177
c119.18	1.010
c1198.01	0.682
c1198.02	1.233
c1198.03c	1.260
c1198.05	1.013
c1198.06c	0.870
c1198.07c	1.238
c1198.07c.rc	1.131
c1198.08	0.993
c1198.10c	0.962
c11c11.01	0.730
c11c11.05	1.291
c11c11.06c	0.158
c11c11.12	1.161
c11d3.01c	0.399
c11d3.02c	0.959
c11d3.03c	1.172
c11d3.04c	1.003
c11d3.05	0.608
c11d3.06	0.929
c11d3.07c	0.733
c11d3.08c	0.720
c11d3.09	0.369
c11d3.10	1.142
c11d3.11c	0.725
c11d3.13	0.223
c11d3.14c	0.951
c11d3.15	1.131
c11d3.16c	0.945
c11d3.17	0.930
c11d3.18c	1.098
c11e10.01	0.827
c11e10.03	1.000
c11e10.04	0.964
c11e10.05c	1.246
c11e10.06c	1.084
c11e10.07c	1.018
c11e3.01c	0.881
c11e3.02c	0.768
c11e3.03	0.928
c11e3.05	0.841
c11e3.07	0.884
c11e3.10	0.931
c11e3.10.rc	
c11e3.11c	1.163
c11e3.12	0.929
c11e3.13c	1.232
c11e3.14	0.377
c11g11.01	0.705
c11g11.03	1.428
c11g11.05	1.295
c11g7.01	1.276
c11g7.03	0.788
c11g7.05c	1.115
c11h11.01	0.933
c11h11.02c	0.988
c11h11.03c	1.075
c11h11.05c	1.045
c1215.01	0.917
c1215.02c	1.188
c1223.01	1.214
c1223.04c	
c1223.07c	0.916
c1223.09	0.486
c1223.10c	0.548
c1223.13	1.247
c1223.14.a	1.025
c1235.03	0.578
c1235.04c	0.863
c1235.05c	1.091
c1235.06	0.864
c1235.07	1.229
c1235.09	1.132
c1235.11	0.731
c1235.12c	1.416
c1250.01	0.934
c1250.02	1.117
c1250.04c	1.089
c1259.02c	1.325
c1259.04	0.947
c1259.05c	0.957
c1259.06	0.920
c1259.07	1.007
c1259.08	1.284
c1259.09c	0.683
c1259.10	1.007
c1259.11c	1.223
c1259.12c	0.774
c126.01c	1.150
c126.04c	0.768
c126.05c	0.954
c126.06	0.719
c126.07c	0.823
c126.08c	1.080
c126.09	0.981
c126.11c	1.059
c126.12	0.971
c126.13c	1.109
c1271.01c	0.997
c1271.03c	0.967
c1271.04c	1.050
c1271.05c	0.427
c1271.06c	
c1271.07c	0.405
c1271.08c	0.269
c1271.09	0.854
c1271.10c	1.088
c1271.11	1.014
c1271.13	1.010
c1271.14	0.990
c1271.15c	1.027
c1281.03c	0.980
c1281.04.a	0.497
c1281.05	1.074
c1281.06c	1.435
c1281.07c	0.354
c1289.01c	1.336
c1289.01c.rc	1.158
c1289.05c	0.900
c1289.06c	0.405
c1289.08	1.359
c1289.09	0.945
c1289.10c	0.956
c1289.12	1.018
c1289.13c	1.006
c1296.01c	0.879
c1296.04	0.762
c1296.05c	1.001
c1296.06	0.872
c12b10.01c	0.696
c12b10.02c	0.769
c12b10.03	1.006
c12b10.04	1.173
c12b10.05	0.952
c12b10.06c	0.870
c12b10.07	0.828
c12b10.08c	1.064
c12b10.09	1.080
c12b10.10	1.236
c12b10.13	0.762
c12b10.14c	1.142
c12b10.15c	1.116
c12b10.16c	0.894
c12c2.03c	0.747
c12c2.04	0.226
c12c2.05c	
c12c2.05c.rc	1.058
c12c2.06	0.962
c12c2.07c	1.125
c12c2.08	0.938
c12c2.09c	1.045
c12c2.11	0.859
c12c2.12c	0.596
c12c2.14c	
c12d12.05c	1.328
c12d12.06	1.067
c12d12.07c	0.828
c12d12.09	1.094
c12g12.02	1.394
c12g12.03	1.037
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	1.239
c12g12.07c	0.954
c12g12.08	0.936
c12g12.09	1.110
c12g12.10	1.059
c12g12.11c	0.831
c12g12.12	0.705
c12g12.14c	0.897
c12g12.15	0.933
c12g12.16c	0.886
c1306.01c	1.246
c132.01c	
c132.02	1.129
c132.03	0.850
c132.04c	0.613
c1322.02	0.965
c1322.03	0.771
c1322.04	0.646
c1322.05c	1.274
c1322.06	1.141
c1322.07c	0.564
c1322.08	0.202
c1322.09	0.831
c1322.09.rc	0.880
c1322.10	0.809
c1322.14c	1.226
c1322.16	0.902
c1327.01c	1.315
c1346.03	0.762
c1347.01c	0.861
c1347.04	0.911
c1347.05c	1.075
c1347.07	0.850
c1347.08c	1.142
c1347.09	1.096
c1347.11	0.976
c1347.12	1.157
c1347.12.rc	
c1347.13c	0.899
c1347.14c	0.910
c1348.01	0.420
c1348.02	0.460
c1348.02.rc	0.913
c1348.03	0.796
c1348.04	0.905
c1348.05	0.856
c1348.06c	0.956
c1348.07	0.528
c1348.08c	
c1348.09	1.270
c1348.10c	1.072
c1348.11	1.026
c1348.12	
c1348.13	1.108
c1348.14c	1.017
c139.01c	1.129
c139.02c	0.780
c139.03	0.866
c139.04c	0.940
c139.05	0.072
c1393.02c	0.824
c1393.04	1.130
c1393.05	1.103
c1393.06c	1.224
c1393.07c	1.077
c1393.08	1.432
c1393.08.rc	1.447
c1393.09c	1.095
c1393.11	1.191
c1393.12	0.292
c1393.13	
c1399.01c	0.547
c1399.02	1.298
c1399.04c	0.754
c1399.05c	0.847
c13a11.01c	1.035
c13a11.03	0.948
c13a11.04c	0.825
c13a11.05	1.071
c13a2.01c	0.933
c13a2.02	1.067
c13a2.03	1.429
c13b11.02c	0.939
c13b11.03c	1.241
c13c5.01c	0.617
c13c5.02	1.074
c13c5.04	0.221
c13c5.04.rc	0.564
c13c5.05c	0.836
c13c5.06c	0.593
c13d6.01	0.571
c13d6.03c	1.193
c13d6.04c	0.989
c13e7.01	1.111
c13e7.02	0.826
c13e7.03c	1.084
c13e7.04	1.065
c13e7.05	1.234
c13e7.06	1.218
c13e7.07	1.005
c13e7.08c	0.890
c13e7.09	0.860
c13e7.09.rc	1.059
c13f5.03c	0.648
c13f5.04c	1.060
c13f5.05	0.808
c13f5.07c	0.413
c13g1.01c	1.114
c13g1.02	0.854
c13g1.03c	0.922
c13g1.04c	1.152
c13g1.05	1.311
c13g1.06c	0.764
c13g1.07	1.014
c13g1.08c	1.236
c13g1.09	1.498
c13g1.10c	1.048
c13g1.12	1.419
c13g1.14c	0.964
c13g1.15c	1.140
c13g6.03	1.299
c13g6.05c	0.837
c13g6.06c	1.235
c13g6.08	1.207
c13g6.09	1.108
c13g6.10c	1.488
c13g6.11c	0.870
c13g7.02c.b	0.470
c13g7.03	0.780
c13g7.04c	1.207
c13g7.05	0.540
c13g7.06	0.767
c13g7.07	1.008
c13g7.09c	1.012
c13g7.10	0.967
c13g7.11	0.899
c13g7.12c	0.920
c13g7.13c	1.745
c140.03	0.758
c140.04	0.970
c140.05	1.595
c1420.01c	0.927
c1420.04c	0.980
c144.01	1.309
c144.02	0.961
c144.05	1.076
c144.07c	1.061
c144.08	0.917
c144.09c	1.048
c144.10c	0.767
c144.12	1.349
c144.15c	1.039
c144.16	0.784
c144.17c	0.847
c144.18	0.923
c1442.02	1.010
c1442.03	1.120
c1442.04c	0.460
c1442.05c	0.810
c1442.06	0.708
c1442.07c	
c1442.08c	0.950
c1442.09	1.034
c1442.11c	
c1442.12	0.856
c1442.13c	1.014
c1442.14c	
c1442.15c	1.164
c1442.17c	0.815
c145.02	0.861
c145.03	0.915
c1450.01c	0.590
c1450.03	1.209
c1450.05c	0.811
c1450.06c	1.257
c1450.07c	
c1450.09c	1.011
c1450.10c	1.272
c1450.12	
c1450.13c	0.414
c1450.14c	0.962
c1450.15	0.989
c1450.16c	0.873
c146.01	0.778
c146.02	1.137
c146.04	0.673
c146.05c	0.871
